"bites_month_1","bites_month_2","bites_month_3","bites_month_4","bites_month_5","bites_month_6","bites_month_7","bites_month_8"
0,0,0,1,0,0,1,1
0,1,1,1,1,0,0,0
0,1,0,0,0,1,1,0
0,0,1,1,0,1,0,0
0,0,0,1,0,1,0,0
1,1,0,0,1,0,0,0
0,1,1,0,1,0,1,1
0,0,0,1,0,0,0,0
1,0,0,1,1,0,1,0
0,1,1,1,0,0,0,1
1,0,0,1,0,0,1,1
1,0,0,0,1,0,0,0
0,0,0,1,1,0,0,0
1,1,1,0,1,0,0,0
1,1,0,1,0,0,0,1
1,0,1,0,0,0,0,1
0,0,1,0,1,1,1,1
1,0,0,1,0,0,0,1
0,0,1,1,0,0,0,0
0,0,0,0,1,1,1,0
0,1,0,0,0,1,1,1
0,0,1,0,0,0,0,0
0,1,1,0,1,1,0,1
1,0,1,0,0,0,1,1
0,0,1,0,0,1,1,0
1,0,0,0,0,0,0,0
1,1,0,1,0,0,1,0
0,0,0,0,0,0,1,0
1,1,1,1,0,0,0,1
1,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,0
0,1,1,1,0,0,0,0
0,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0
1,1,1,1,0,0,0,1
0,1,1,0,0,1,0,1
1,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0
0,1,0,1,1,0,1,0
0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0
0,0,1,0,1,0,0,1
0,0,1,1,0,0,0,0
1,0,0,0,1,0,0,0
1,0,1,1,0,0,1,1
0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,0
0,0,0,0,0,0,1,0
0,1,0,1,0,0,1,1
0,0,0,1,1,1,1,1
1,0,0,1,1,0,1,0
0,1,1,1,0,1,0,0
1,0,0,1,1,1,1,1
0,1,0,0,1,0,0,1
1,1,0,0,0,0,1,0
1,1,1,1,1,1,0,0
0,0,0,0,0,1,0,0
0,1,1,1,0,0,0,0
1,0,1,0,1,0,1,0
0,1,0,0,0,1,0,0
1,1,0,1,0,1,0,0
0,0,0,0,0,1,1,1
1,0,0,0,0,1,0,1
0,0,0,1,1,1,0,0
1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0
1,1,1,1,0,1,1,0
0,0,1,0,0,1,0,1
1,0,1,0,0,0,0,0
0,0,1,0,1,0,0,0
1,1,1,1,0,1,1,1
0,0,1,0,0,1,1,0
0,1,0,0,0,0,1,1
0,0,0,1,1,0,0,0
0,0,0,1,1,0,0,0
0,0,0,0,0,0,1,1
0,0,0,1,1,1,0,0
1,1,0,1,0,1,0,0
1,1,0,1,0,0,0,0
0,0,0,0,0,0,1,0
